"Device","Function Group","Function Name","Zone","ID1 Code","ID2 Code","Comment","Export Comment – starting this with # will comment out the code as well"
"RECEIVER","INPUT","AV2","MAIN","7A-5629","7A-5628",,
"RECEIVER","INPUT","AV2","ZONE2","7A-5728","7A-5729","1067 2067 3067",
"RECEIVER","INPUT","AV2","ZONE3","7A-5827","7A-5826","2067 3067",
"RECEIVER","INPUT","AV2","ZONE4","7A-85FA","7A-85FB","3067",
"RECEIVER","INPUT","AV3","MAIN","7A-5926","7A-5927",,
"RECEIVER","INPUT","AV3","ZONE2","7A-5A25","7A-5A24","1067 2067 3067",
"RECEIVER","INPUT","AV3","ZONE3","7A-5B24","7A-5B25","2067 3067",
"RECEIVER","INPUT","AV3","ZONE4","7A-86F9","7A-86F8","3067",
"RECEIVER","INPUT","AV4","MAIN","7A-5C23","7A-5C22",,
"RECEIVER","INPUT","AV4","ZONE2","7A-5D22","7A-5D23","1067 2067 3067",
"RECEIVER","INPUT","AV4","ZONE3","7A-5E21","7A-5E20","2067 3067",
"RECEIVER","INPUT","AV4","ZONE4","7A-87F8","7A-87F9","3067",
"RECEIVER","INPUT","AV5","MAIN","7A-5F20","7A-5F21",,
"RECEIVER","INPUT","AV5","ZONE2","7A-601F","7A-601E","667 767 867",
"RECEIVER","INPUT","AV6","MAIN","7A-621D","7A-621C",,
"RECEIVER","INPUT","AV6","ZONE2","7A-631C","7A-631D","667 767 867",
"RECEIVER","INPUT","AV7","MAIN","7A-7609","7A-7608","1067 2067 3067",
"RECEIVER","INPUT","VAUX","MAIN","7A-7906","7A-7907","1067 2067 3067",
"RECEIVER","INPUT","VAUX","ZONE2","7A-7A05","7A-7A04","1067 2067 3067",
"RECEIVER","INPUT","VAUX","ZONE3","7A-7B04","7A-7B05","2067 3067",
"RECEIVER","INPUT","VAUX","ZONE4","7A-8BF4","7A-8BF5","3067",
"RECEIVER","INPUT","DOCK","MAIN","7F01-4A","7F01-4AB4",,
"RECEIVER","INPUT","DOCK","ZONE2","7F01-4B","7F01-4BB5",,
"RECEIVER","INPUT","DOCK","ZONE3","7F01-4C","7F01-4CB2","2067 3067",
"RECEIVER","INPUT","HDMI1","MAIN","7A-4738","7A-4739","667 767 867",
"RECEIVER","INPUT","HDMI2","MAIN","7A-4A35","7A-4A34","667 767 867",
"RECEIVER","INPUT","HDMI3","MAIN","7A-4D32","7A-4D33","667 767 867",
"RECEIVER","INPUT","HDMI4","MAIN","7A-502F","7A-502E","667 767 867",
"RECEIVER","INPUT","HDMI5","MAIN","7A-700F","7A-700E","667 767 867",
"RECEIVER","INPUT","VAUX","MAIN","7A-730C","7A-730D","667 767 867",
"RECEIVER","INPUT","VAUX","ZONE2","7A-740B","7A-740A","667 767 867",
"RECEIVER","INPUT","INPUT-","MAIN","7A-235C","7A-235D",,
"RECEIVER","INPUT","INPUT-","ZONE2","7A-245B","7A-245A",,
"RECEIVER","INPUT","INPUT-","ZONE3","7A-255A","7A-255B","2067 3067",
